fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost
128,Kurt,Zouma,Zouma,D,Chelsea,5.5,5.5
129,Kepa,Arrizabalaga,Arrizabalaga,G,Chelsea,5.0,5.0
130,N'Golo,Kanté,Kanté,M,Chelsea,5.0,5.0
131,Hakim,Ziyech,Ziyech,M,Chelsea,7.5,7.5
132,Ruben,Loftus-Cheek,Loftus-Cheek,M,Chelsea,5.5,5.5
133,Andreas,Christensen,Christensen,D,Chelsea,5.0,5.0
134,Timo,Werner,Werner,F,Chelsea,9.0,9.0
135,Benjamin,Chilwell,Chilwell,D,Chelsea,6.0,6.0
136,Tammy,Abraham,Abraham,F,Chelsea,6.5,6.5
137,Christian,Pulisic,Pulisic,M,Chelsea,8.0,8.0
138,Mason,Mount,Mount,M,Chelsea,7.5,7.5
139,Ethan,Ampadu,Ampadu,D,Chelsea,4.5,4.5
140,Callum,Hudson-Odoi,Hudson-Odoi,M,Chelsea,5.5,5.5
141,Kai,Havertz,Havertz,M,Chelsea,8.5,8.5
142,Reece,James,James,D,Chelsea,5.5,5.5
143,Edouard,Mendy,Mendy,G,Chelsea,6.0,6.0
144,Conor,Gallagher,Gallagher,M,Chelsea,5.5,5.5
145,Billy,Gilmour,Gilmour,M,Norwich,4.5,4.5
146,Vicente,Guaita,Guaita,G,Crystal Palace,4.5,4.5
147,James,Tomkins,Tomkins,D,Crystal Palace,4.5,4.5
148,James,McArthur,McArthur,M,Crystal Palace,4.5,4.5
149,Christian,Benteke,Benteke,F,Crystal Palace,6.5,6.5
150,Cheikhou,Kouyaté,Kouyaté,D,Crystal Palace,4.5,4.5
151,Martin,Kelly,Kelly,D,Crystal Palace,4.0,4.0
152,Luka,Milivojevic,Milivojevic,M,Crystal Palace,5.5,5.5
153,Jordan,Ayew,Ayew,F,Crystal Palace,6.0,6.0
154,Wilfried,Zaha,Zaha,M,Crystal Palace,7.0,7.0
155,Jeffrey,Schlupp,Schlupp,M,Crystal Palace,5.5,5.5
156,Jack,Butland,Butland,G,Crystal Palace,4.5,4.5
157,Jairo,Riedewald,Riedewald,M,Crystal Palace,5.0,5.0
158,Jarosław,Jach,Jach,D,Crystal Palace,4.5,4.5
159,Jean-Philippe,Mateta,Mateta,F,Crystal Palace,5.5,5.5
160,Eberechi,Eze,Eze,M,Crystal Palace,6.0,6.0
161,Nathan,Ferguson,Ferguson,D,Crystal Palace,4.5,4.5
162,Tyrick,Mitchell,Mitchell,D,Crystal Palace,4.5,4.5
163,Fabian,Delph,Delph,M,Everton,4.5,4.5
164,Gylfi,Sigurdsson,Sigurdsson,M,Everton,7.0,7.0
165,Seamus,Coleman,Coleman,D,Everton,5.0,5.0
166,James,Rodríguez,James,M,Everton,7.0,7.0
167,Bernard,Anício Caldeira Duarte,Bernard,M,Everton,5.5,5.5
168,Lucas,Digne,Digne,D,Everton,5.5,5.5
169,Michael,Keane,Keane,D,Everton,5.0,5.0
170,Jordan,Pickford,Pickford,G,Everton,5.0,5.0
171,Allan,Marques Loureiro,Allan,M,Everton,4.5,4.5
172,André Filipe,Tavares Gomes,André Gomes,M,Everton,5.0,5.0
173,Abdoulaye,Doucouré,Doucouré,M,Everton,5.5,5.5
174,Alex,Iwobi,Iwobi,M,Everton,6.0,6.0
175,Yerry,Mina,Mina,D,Everton,5.0,5.0
176,Tom,Davies,Davies,M,Everton,5.0,5.0
177,Dominic,Calvert-Lewin,Calvert-Lewin,F,Everton,8.0,8.0
178,Mason,Holgate,Holgate,D,Everton,4.5,4.5
179,Ben,Godfrey,Godfrey,D,Everton,5.0,5.0
180,Richarlison,de Andrade,Richarlison,F,Everton,7.5,7.5
181,João,Virgínia,Virgínia,G,Everton,4.0,4.0
182,Pablo,Hernández Domínguez,Hernández,M,Leeds,5.5,5.5
183,Francisco,Casilla Cortés,Casilla,G,Leeds,4.5,4.5
184,Liam,Cooper,Cooper,D,Leeds,4.5,4.5
185,Luke,Ayling,Ayling,D,Leeds,4.5,4.5
186,Mateusz,Klich,Klich,M,Leeds,5.5,5.5
187,Rodrigo,Moreno,Rodrigo,F,Leeds,6.5,6.5
188,Stuart,Dallas,Dallas,M,Leeds,5.5,5.5
189,Patrick,Bamford,Bamford,F,Leeds,8.0,8.0
190,Diego,Llorente,Llorente,D,Leeds,4.5,4.5
191,Kalvin,Phillips,Phillips,M,Leeds,5.0,5.0
192,Hélder Wander,Sousa de Azevedo e Costa,Costa,M,Leeds,5.5,5.5
193,Tyler,Roberts,Roberts,M,Leeds,5.0,5.0
194,Robin,Koch,Koch,D,Leeds,4.5,4.5
195,Ian Carlo,Poveda-Ocampo,Poveda,M,Leeds,4.5,4.5
196,Raphael,Dias Belloli,Raphinha,M,Leeds,6.5,6.5
197,Jamie,Shackleton,Shackleton,M,Leeds,4.5,4.5
198,Pascal,Struijk,Struijk,D,Leeds,4.5,4.5
199,Illan,Meslier,Meslier,G,Leeds,5.0,5.0
200,Kasper,Schmeichel,Schmeichel,G,Leicester,5.0,5.0
201,Jonny,Evans,Evans,D,Leicester,5.5,5.5
202,Marc,Albrighton,Albrighton,M,Leicester,5.5,5.5
