fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost
297,Jeff,Hendrick,Hendrick,M,Newcastle,5.0,5.0
298,Ryan,Fraser,Fraser,M,Newcastle,5.5,5.5
299,Jamaal,Lascelles,Lascelles,D,Newcastle,4.5,4.5
300,Dwight,Gayle,Gayle,F,Newcastle,5.5,5.5
301,Paul,Dummett,Dummett,D,Newcastle,4.5,4.5
302,Javier,Manquillo,Manquillo,D,Newcastle,4.0,4.0
303,Emil,Krafth,Krafth,D,Newcastle,4.5,4.5
304,Jacob,Murphy,Murphy,M,Newcastle,5.0,5.0
305,Fabian,Schär,Schär,D,Newcastle,4.5,4.5
306,Isaac,Hayden,Hayden,M,Newcastle,4.5,4.5
307,Allan,Saint-Maximin,Saint-Maximin,F,Newcastle,6.5,6.5
308,Miguel,Almirón,Almirón,M,Newcastle,5.5,5.5
309,Sean,Longstaff,S.Longstaff,M,Newcastle,4.5,4.5
310,Joelinton Cássio,Apolinário de Lira,Joelinton,F,Newcastle,6.0,6.0
311,Jamal,Lewis,Lewis,D,Newcastle,4.5,4.5
312,Matthew,Longstaff,M.Longstaff,M,Newcastle,4.5,4.5
313,Michael,McGovern,McGovern,G,Norwich,4.0,4.0
314,Tim,Krul,Krul,G,Norwich,4.5,4.5
315,Teemu,Pukki,Pukki,F,Norwich,6.0,6.0
316,Marco,Stiepermann,Stiepermann,M,Norwich,5.0,5.0
317,Lukas,Rupp,Rupp,M,Norwich,4.5,4.5
318,Kenny,McLean,McLean,M,Norwich,5.0,5.0
319,Grant,Hanley,Hanley,D,Norwich,4.5,4.5
320,Onel,Hernández,Hernández,M,Norwich,5.0,5.0
321,Sam,Byram,Byram,D,Norwich,4.5,4.5
322,Jordan,Hugill,Hugill,F,Norwich,5.5,5.5
323,Kieran,Dowell,Dowell,M,Norwich,5.5,5.5
324,Christoph,Zimmermann,Zimmermann,D,Norwich,4.5,4.5
325,Todd,Cantwell,Cantwell,M,Norwich,5.5,5.5
326,Max,Aarons,Aarons,D,Norwich,4.5,4.5
327,Jacob,Sørensen,Sørensen,D,Norwich,4.5,4.5
328,Przemyslaw,Placheta,Placheta,M,Norwich,5.0,5.0
329,Adam,Idah,Idah,F,Norwich,5.0,5.0
330,Josh,Martin,Martin,M,Norwich,5.0,5.0
331,Andrew,Omobamidele,Omobamidele,D,Norwich,4.0,4.0
332,Theo,Walcott,Walcott,M,Southampton,6.0,6.0
333,Fraser,Forster,Forster,G,Southampton,4.5,4.5
334,Alex,McCarthy,McCarthy,G,Southampton,4.5,4.5
